日期,母,配,母+配,進食次數,平均間隔時間,隔日餐間隔時間
2022.08.08 星期一,215,560,775,6,3.35,0.00
2022.08.09 星期二,190,590,780,6,3.66,5.75
2022.08.10 星期三,395,420,815,6,3.86,5.10
2022.08.11 星期四,240,730,970,7,3.86,5.00
2022.08.12 星期五,280,540,820,6,3.50,4.33
2022.08.13 星期六,320,640,960,7,3.80,4.80
2022.08.14 星期日,410,385,795,6,3.48,5.92
2022.08.15 星期一,340,455,795,6,3.83,4.33
2022.08.16 星期二,245,680,925,7,3.63,4.33
2022.08.17 星期三,380,570,950,7,3.68,5.33
2022.08.18 星期四,410,520,930,7,3.46,5.20
2022.08.19 星期五,320,520,840,6,4.09,6.22
2022.08.20 星期六,430,560,990,7,3.62,5.97
2022.08.21 星期日,430,430,860,6,3.18,10.02
2022.08.22 星期一,340,510,850,6,3.42,5.77
2022.08.23 星期二,385,520,905,6,4.00,6.72
2022.08.24 星期三,410,520,930,6,4.29,6.92
2022.08.25 星期四,440,635,1075,7,3.00,8.08
2022.08.26 星期五,410,670,1080,7,3.75,6.92
2022.08.27 星期六,500,540,1040,7,3.68,6.02
2022.08.28 星期日,430,390,820,6,3.23,6.05
2022.08.29 星期一,460,639,1099,7,3.87,6.55
2022.08.30 星期二,330,420,750,5,3.42,7.72
2022.08.31 星期三,550,550,1100,7,3.86,6.07
2022.09.01 星期四,435,500,935,6,3.47,6.50
2022.09.02 星期五,540,350,890,6,3.13,6.85
2022.09.03 星期六,390,470,860,6,4.24,7.78
2022.09.04 星期日,450,470,920,6,4.07,7.83
2022.09.05 星期一,510,515,1025,7,3.56,4.17
2022.09.06 星期二,540,540,1080,7,3.83,7.67
2022.09.07 星期三,360,360,720,5,3.61,8.20
2022.09.08 星期四,475,230,705,5,4.82,4.05
2022.09.09 星期五,540,400,940,6,4.32,6.88
2022.09.10 星期六,495,440,935,6,4.18,6.63
2022.09.11 星期日,470,460,930,7,3.50,6.88
2022.09.12 星期一,485,440,925,6,4.20,7.52
2022.09.14 星期三,515,230,745,5,3.34,10.22
2022.09.15 星期四,490,430,920,6,4.41,8.80
2022.09.16 星期五,510,420,930,6,4.06,7.47
2022.09.17 星期六,495,440,935,6,4.21,7.07
2022.09.18 星期日,550,370,920,6,4.23,7.55
2022.09.20 星期二,590,340,930,6,4.24,6.75
2022.09.21 星期三,470,310,780,5,4.80,8.13
2022.09.22 星期四,600,390,990,7,3.60,7.12
2022.09.23 星期五,450,445,895,6,4.24,7.80
2022.09.24 星期六,590,330,920,6,4.13,7.40
2022.09.25 星期日,540,380,920,6,4.11,7.92
2022.09.26 星期一,510,410,920,6,4.26,7.10
2022.09.27 星期二,485,410,895,6,4.37,7.67
2022.09.28 星期三,569,350,919,6,4.19,6.33
2022.09.29 星期四,589,300,889,6,4.33,6.58
2022.09.30 星期五,500,250,750,6,3.97,6.62
2022.10.01 星期六,530,400,930,6,4.23,7.57
2022.10.02 星期日,560,380,940,6,4.35,6.90
2022.10.03 星期一,550,570,1120,7,3.88,7.30
2022.10.04 星期二,580,160,740,5,3.72,6.98
2022.10.05 星期三,550,390,940,6,4.09,6.78
2022.10.06 星期四,420,240,660,4,4.88,7.47
